idx,date,week,day,time,id,step,loc
1,08월 20일,1,1,9:00,-,,신촌
2,08월 20일,1,1,9:30,-,,신촌
3,08월 20일,1,1,10:00,-,,신촌
4,08월 20일,1,1,10:30,-,,신촌
5,08월 20일,1,1,11:00,-,,신촌
6,08월 20일,1,1,11:30,-,,신촌
7,08월 20일,1,1,12:00,-,,신촌
8,08월 20일,1,1,12:30,-,,신촌
9,08월 20일,1,1,13:00,-,,신촌
10,08월 20일,1,1,13:30,-,,신촌
11,08월 20일,1,1,14:00,-,,신촌
12,08월 20일,1,1,14:30,-,,신촌
13,08월 20일,1,1,15:00,-,,신촌
14,08월 20일,1,1,15:30,-,,신촌
15,08월 20일,1,1,16:00,-,,신촌
16,08월 20일,1,1,16:30,-,,신촌
17,08월 20일,1,1,17:00,-,,신촌
18,08월 20일,1,1,17:30,-,,신촌
19,08월 20일,1,1,18:00,-,,신촌
20,08월 20일,1,1,18:30,-,,신촌
21,08월 20일,1,1,19:00,-,,신촌
22,08월 20일,1,1,19:30,-,,신촌
23,08월 20일,1,1,20:00,-,,신촌
24,08월 20일,1,1,20:30,-,,신촌
25,08월 20일,1,1,21:00,-,,신촌
26,08월 20일,1,1,21:30,-,,신촌
27,08월 20일,1,1,22:00,-,,신촌
28,08월 21일,1,2,9:00,-,,강남
29,08월 21일,1,2,9:30,-,,강남
30,08월 21일,1,2,10:00,-,,강남
31,08월 21일,1,2,10:30,-,,강남
32,08월 21일,1,2,11:00,-,,강남
33,08월 21일,1,2,11:30,-,,강남
34,08월 21일,1,2,12:00,-,,강남
35,08월 21일,1,2,12:30,-,,강남
36,08월 21일,1,2,13:00,-,,강남
37,08월 21일,1,2,13:30,-,,강남
38,08월 21일,1,2,14:00,-,,강남
39,08월 21일,1,2,14:30,-,,강남
40,08월 21일,1,2,15:00,-,,강남
41,08월 21일,1,2,15:30,-,,강남
42,08월 21일,1,2,16:00,-,,강남
43,08월 21일,1,2,16:30,-,,강남
44,08월 21일,1,2,17:00,-,,강남
45,08월 21일,1,2,17:30,-,,강남
46,08월 21일,1,2,18:00,-,,강남
47,08월 21일,1,2,18:30,-,,강남
48,08월 21일,1,2,19:00,-,,강남
49,08월 21일,1,2,19:30,-,,강남
50,08월 21일,1,2,20:00,-,,강남
51,08월 21일,1,2,20:30,-,,강남
52,08월 21일,1,2,21:00,-,,강남
53,08월 21일,1,2,21:30,-,,강남
54,08월 21일,1,2,22:00,-,,강남
55,08월 22일,1,3,9:00,아침수업,,신촌
56,08월 22일,1,3,9:30,아침수업,,신촌
57,08월 22일,1,3,10:00,아침수업,,신촌
58,08월 22일,1,3,10:30,아침수업,,신촌
59,08월 22일,1,3,11:00,아침수업,,신촌
60,08월 22일,1,3,11:30,아침수업,,신촌
61,08월 22일,1,3,12:00,아침수업,,신촌
62,08월 22일,1,3,12:30,아침수업,,신촌
63,08월 22일,1,3,13:00,아침수업,,신촌
64,08월 22일,1,3,13:30,아침수업,,신촌
65,08월 22일,1,3,14:00,,,신촌
66,08월 22일,1,3,14:30,,,신촌
67,08월 22일,1,3,15:00,,,신촌
68,08월 22일,1,3,15:30,,,신촌
69,08월 22일,1,3,16:00,,,신촌
70,08월 22일,1,3,16:30,,,신촌
71,08월 22일,1,3,17:00,,,신촌
72,08월 22일,1,3,17:30,,,신촌
73,08월 22일,1,3,18:00,,,신촌
74,08월 22일,1,3,18:30,저녁수업,,신촌
75,08월 22일,1,3,19:00,저녁수업,,신촌
76,08월 22일,1,3,19:30,저녁수업,,신촌
77,08월 22일,1,3,20:00,저녁수업,,신촌
78,08월 22일,1,3,20:30,저녁수업,,신촌
79,08월 22일,1,3,21:00,저녁수업,,신촌
80,08월 22일,1,3,21:30,저녁수업,,신촌
81,08월 22일,1,3,22:00,저녁수업,,신촌
82,08월 23일,1,4,9:00,아침수업,,강남
83,08월 23일,1,4,9:30,아침수업,,강남
84,08월 23일,1,4,10:00,아침수업,,강남
85,08월 23일,1,4,10:30,아침수업,,강남
86,08월 23일,1,4,11:00,아침수업,,강남
87,08월 23일,1,4,11:30,아침수업,,강남
88,08월 23일,1,4,12:00,아침수업,,강남
89,08월 23일,1,4,12:30,아침수업,,강남
90,08월 23일,1,4,13:00,아침수업,,강남
91,08월 23일,1,4,13:30,아침수업,,강남
92,08월 23일,1,4,14:00,,,강남
93,08월 23일,1,4,14:30,,,강남
94,08월 23일,1,4,15:00,,,강남
95,08월 23일,1,4,15:30,,,강남
96,08월 23일,1,4,16:00,,,강남
97,08월 23일,1,4,16:30,,,강남
98,08월 23일,1,4,17:00,,,강남
99,08월 23일,1,4,17:30,,,강남
100,08월 23일,1,4,18:00,,,강남
101,08월 23일,1,4,18:30,저녁수업,,강남
102,08월 23일,1,4,19:00,저녁수업,,강남
103,08월 23일,1,4,19:30,저녁수업,,강남
104,08월 23일,1,4,20:00,저녁수업,,강남
105,08월 23일,1,4,20:30,저녁수업,,강남
106,08월 23일,1,4,21:00,저녁수업,,강남
107,08월 23일,1,4,21:30,저녁수업,,강남
108,08월 23일,1,4,22:00,저녁수업,,강남
109,08월 24일,1,5,9:00,,,강남
110,08월 24일,1,5,9:30,,,강남
111,08월 24일,1,5,10:00,,,강남
112,08월 24일,1,5,10:30,,,강남
113,08월 24일,1,5,11:00,,,강남
114,08월 24일,1,5,11:30,,,강남
115,08월 24일,1,5,12:00,,,강남
116,08월 24일,1,5,12:30,,,강남
117,08월 24일,1,5,13:00,,,강남
118,08월 24일,1,5,13:30,,,강남
119,08월 24일,1,5,14:00,,,강남
120,08월 24일,1,5,14:30,,,강남
121,08월 24일,1,5,15:00,,,강남
122,08월 24일,1,5,15:30,,,강남
123,08월 24일,1,5,16:00,,,강남
124,08월 24일,1,5,16:30,,,강남
125,08월 24일,1,5,17:00,,,강남
126,08월 24일,1,5,17:30,,,강남
127,08월 24일,1,5,18:00,,,강남
128,08월 24일,1,5,18:30,,,강남
129,08월 24일,1,5,19:00,,,강남
130,08월 24일,1,5,19:30,,,강남
131,08월 24일,1,5,20:00,,,강남
132,08월 24일,1,5,20:30,,,강남
133,08월 24일,1,5,21:00,,,강남
134,08월 24일,1,5,21:30,,,강남
