idx,date,week,day,time,id,step,loc
1,2018-09-08,1,1,AM 10:00:00,,,강남
2,2018-09-08,1,1,AM 10:30:00,,,강남
3,2018-09-08,1,1,AM 11:00:00,,,강남
4,2018-09-08,1,1,AM 11:30:00,,,강남
5,2018-09-08,1,1,PM 12:00:00,qwerqwerq,,강남
6,2018-09-08,1,1,PM 12:30:00,수업,,강남
7,2018-09-08,1,1,PM 1:00:00,,,강남
8,2018-09-08,1,1,PM 1:30:00,,,강남
9,2018-09-08,1,1,PM 2:00:00,,,강남
10,2018-09-08,1,1,PM 2:30:00,,,강남
11,2018-09-08,1,1,PM 3:00:00,,,강남
12,2018-09-08,1,1,PM 3:30:00,,,강남
13,2018-09-08,1,1,PM 4:00:00,,,강남
14,2018-09-08,1,1,PM 4:30:00,,,강남
15,2018-09-08,1,1,PM 5:00:00,onyoujang,6,강남
16,2018-09-08,1,1,PM 5:30:00,,,강남
17,2018-09-08,1,1,PM 6:00:00,,,강남
18,2018-09-08,1,1,PM 6:30:00,,,강남
19,2018-09-08,1,1,PM 7:00:00,,,강남
20,2018-09-08,1,1,PM 7:30:00,,,강남
21,2018-09-08,1,1,PM 8:00:00,,,강남
22,2018-09-08,1,1,PM 8:30:00,,,강남
23,2018-09-08,1,1,PM 9:00:00,,,강남
24,2018-09-08,1,1,PM 9:30:00,,,강남
25,2018-09-08,1,1,PM 10:00:00,,,강남
26,2018-09-10,1,2,AM 10:00:00,,,강남
27,2018-09-10,1,2,AM 10:30:00,,,강남
28,2018-09-10,1,2,AM 11:00:00,,,강남
29,2018-09-10,1,2,AM 11:30:00,,,강남
30,2018-09-10,1,2,PM 12:00:00,수업,,강남
31,2018-09-10,1,2,PM 12:30:00,수업,,강남
32,2018-09-10,1,2,PM 1:00:00,,,강남
33,2018-09-10,1,2,PM 1:30:00,,,강남
34,2018-09-10,1,2,PM 2:00:00,,,강남
35,2018-09-10,1,2,PM 2:30:00,,,강남
36,2018-09-10,1,2,PM 3:00:00,,,강남
37,2018-09-10,1,2,PM 3:30:00,,,강남
38,2018-09-10,1,2,PM 4:00:00,,,강남
39,2018-09-10,1,2,PM 4:30:00,,,강남
40,2018-09-10,1,2,PM 5:00:00,,0,강남
41,2018-09-10,1,2,PM 5:30:00,,,강남
42,2018-09-10,1,2,PM 6:00:00,수업,,강남
43,2018-09-10,1,2,PM 6:30:00,수업,,강남
44,2018-09-10,1,2,PM 7:00:00,,,강남
45,2018-09-10,1,2,PM 7:30:00,,,강남
46,2018-09-10,1,2,PM 8:00:00,,,강남
47,2018-09-10,1,2,PM 8:30:00,,,강남
48,2018-09-10,1,2,PM 9:00:00,,,강남
49,2018-09-10,1,2,PM 9:30:00,,,강남
50,2018-09-10,1,2,PM 10:00:00,,,강남
51,2018-09-15,1,3,AM 10:00:00,,,강남
52,2018-09-15,1,3,AM 10:30:00,,,강남
53,2018-09-15,1,3,AM 11:00:00,,,강남
54,2018-09-15,1,3,AM 11:30:00,,,강남
55,2018-09-15,1,3,PM 12:00:00,수업,,강남
56,2018-09-15,1,3,PM 12:30:00,수업,,강남
57,2018-09-15,1,3,PM 1:00:00,,,강남
58,2018-09-15,1,3,PM 1:30:00,,,강남
59,2018-09-15,1,3,PM 2:00:00,94hoonhwa,6,강남
60,2018-09-15,1,3,PM 2:30:00,,,강남
61,2018-09-15,1,3,PM 3:00:00,,,강남
62,2018-09-15,1,3,PM 3:30:00,,,강남
63,2018-09-15,1,3,PM 4:00:00,,,강남
64,2018-09-15,1,3,PM 4:30:00,,,강남
65,2018-09-15,1,3,PM 5:00:00,,,강남
66,2018-09-15,1,3,PM 5:30:00,,,강남
67,2018-09-15,1,3,PM 6:00:00,수업,,강남
68,2018-09-15,1,3,PM 6:30:00,수업,,강남
69,2018-09-15,1,3,PM 7:00:00,,,강남
70,2018-09-15,1,3,PM 7:30:00,,,강남
71,2018-09-15,1,3,PM 8:00:00,,,강남
72,2018-09-15,1,3,PM 8:30:00,,,강남
73,2018-09-15,1,3,PM 9:00:00,,,강남
74,2018-09-15,1,3,PM 9:30:00,,,강남
75,2018-09-15,1,3,PM 10:00:00,,,강남
76,2018-09-17,1,4,AM 10:00:00,,,강남
77,2018-09-17,1,4,AM 10:30:00,,,강남
78,2018-09-17,1,4,AM 11:00:00,,,강남
79,2018-09-17,1,4,AM 11:30:00,,,강남
80,2018-09-17,1,4,PM 12:00:00,수업,,강남
81,2018-09-17,1,4,PM 12:30:00,수업,,강남
82,2018-09-17,1,4,PM 1:00:00,,,강남
83,2018-09-17,1,4,PM 1:30:00,,,강남
84,2018-09-17,1,4,PM 2:00:00,,,강남
85,2018-09-17,1,4,PM 2:30:00,201303848,6,강남
86,2018-09-17,1,4,PM 3:00:00,-,,강남
87,2018-09-17,1,4,PM 3:30:00,-,,강남
88,2018-09-17,1,4,PM 4:00:00,-,,강남
89,2018-09-17,1,4,PM 4:30:00,-,,강남
90,2018-09-17,1,4,PM 5:00:00,-,,강남
91,2018-09-17,1,4,PM 5:30:00,-,,강남
92,2018-09-17,1,4,PM 6:00:00,수업,,강남
93,2018-09-17,1,4,PM 6:30:00,수업,,강남
94,2018-09-17,1,4,PM 7:00:00,-,,강남
95,2018-09-17,1,4,PM 7:30:00,-,,강남
96,2018-09-17,1,4,PM 8:00:00,-,,강남
97,2018-09-17,1,4,PM 8:30:00,-,,강남
98,2018-09-17,1,4,PM 9:00:00,-,,강남
99,2018-09-17,1,4,PM 9:30:00,-,,강남
100,2018-09-17,1,4,PM 10:00:00,kkathy14,6,강남
101,2018-09-19,1,5,AM 10:00:00,,,강남
102,2018-09-19,1,5,AM 10:30:00,,,강남
103,2018-09-19,1,5,AM 11:00:00,,,강남
104,2018-09-19,1,5,AM 11:30:00,,,강남
105,2018-09-19,1,5,PM 12:00:00,수업,,강남
106,2018-09-19,1,5,PM 12:30:00,수업,,강남
107,2018-09-19,1,5,PM 1:00:00,,,강남
108,2018-09-19,1,5,PM 1:30:00,,,강남
109,2018-09-19,1,5,PM 2:00:00,,,강남
110,2018-09-19,1,5,PM 2:30:00,,,강남
111,2018-09-19,1,5,PM 3:00:00,,,강남
112,2018-09-19,1,5,PM 3:30:00,,,강남
113,2018-09-19,1,5,PM 4:00:00,,,강남
114,2018-09-19,1,5,PM 4:30:00,,,강남
115,2018-09-19,1,5,PM 5:00:00,,,강남
116,2018-09-19,1,5,PM 5:30:00,,,강남
117,2018-09-19,1,5,PM 6:00:00,수업,,강남
118,2018-09-19,1,5,PM 6:30:00,수업,,강남
119,2018-09-19,1,5,PM 7:00:00,,,강남
120,2018-09-19,1,5,PM 7:30:00,,,강남
121,2018-09-19,1,5,PM 8:00:00,,,강남
122,2018-09-19,1,5,PM 8:30:00,,,강남
123,2018-09-19,1,5,PM 9:00:00,,,강남
124,2018-09-19,1,5,PM 9:30:00,,,강남
125,2018-09-19,1,5,PM 10:00:00,won-1017,6,강남
126,2018-09-21,1,6,AM 10:00:00,,,강남
127,2018-09-21,1,6,AM 10:30:00,,,강남
128,2018-09-21,1,6,AM 11:00:00,,,강남
129,2018-09-21,1,6,AM 11:30:00,,,강남
130,2018-09-21,1,6,PM 12:00:00,,,강남
131,2018-09-21,1,6,PM 12:30:00,,,강남
132,2018-09-21,1,6,PM 1:00:00,,,강남
133,2018-09-21,1,6,PM 1:30:00,,,강남
134,2018-09-21,1,6,PM 2:00:00,,,강남
135,2018-09-21,1,6,PM 2:30:00,,,강남
136,2018-09-21,1,6,PM 3:00:00,,,강남
137,2018-09-21,1,6,PM 3:30:00,,,강남
138,2018-09-21,1,6,PM 4:00:00,,,강남
139,2018-09-21,1,6,PM 4:30:00,,,강남
140,2018-09-21,1,6,PM 5:00:00,,,강남
141,2018-09-21,1,6,PM 5:30:00,,,강남
142,2018-09-21,1,6,PM 6:00:00,,,강남
143,2018-09-21,1,6,PM 6:30:00,,,강남
144,2018-09-21,1,6,PM 7:00:00,,,강남
145,2018-09-21,1,6,PM 7:30:00,,,강남
146,2018-09-21,1,6,PM 8:00:00,,,강남
147,2018-09-21,1,6,PM 8:30:00,,,강남
148,2018-09-21,1,6,PM 9:00:00,,,강남
149,2018-09-21,1,6,PM 9:30:00,,,강남
150,2018-09-21,1,6,PM 10:00:00,,,강남
